model_run_id,prediction_date,rank,target_date,symbol,real_close,predicted_close,actual_return,predicted_return,direction_correct,model_name,created_at
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,6,2025-09-25,BTN,2.9,3.0160334,0.0,0.04001152104344863,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,7,2025-09-18,DC1,7.4,6.6489725,0.15625,0.038901954889297485,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,8,2025-09-18,DTI,2.7,2.794195,0.0,0.03488701361197011,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,9,2025-09-19,HAV,3.9,3.9300663,0.026315789473684292,0.03422798608478761,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,10,2025-09-18,GPC,2.7,2.7888339,0.0,0.032901428363941276,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,1,2025-10-17,MPT,0.5,0.8765148,-0.16666666666666663,0.46085798740386963,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,2,2025-10-24,G20,0.7,0.85360676,0.16666666666666674,0.4226779341697693,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,3,2025-10-17,FTM,0.7,0.9623713,0.0,0.37481612818581733,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,4,2025-10-17,PVH,0.6,0.9623713,-0.1428571428571428,0.37481612818581733,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,5,2025-10-17,PXM,0.5,0.80638754,-0.16666666666666663,0.34397923946380615,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,6,2025-10-17,ACM,0.6,0.9326168,-0.1428571428571428,0.33230967181069526,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,7,2025-10-17,JOS,0.8,1.2126082,-0.19999999999999996,0.2126082181930542,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,8,2025-10-17,PXA,0.8,1.0394342,-0.11111111111111105,0.15492688284979916,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,9,2025-10-24,HTT,1.6,1.5825647,0.14285714285714302,0.13040336540767128,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-12,10,2025-10-17,VKC,1.0,1.2126082,-0.09090909090909094,0.10237110744823097,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,1,2025-09-22,HHG,1.5,1.6610371,0.0,0.10735805829366041,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,2,2025-09-23,KSQ,2.2,2.1384854,0.10000000000000009,0.06924271583557129,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,3,2025-09-22,DTI,2.6,2.8186088,-0.03703703703703709,0.04392917067916291,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,4,2025-09-22,DRH,2.92,3.1606874,-0.0363036303630363,0.043131170493148074,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,5,2025-09-22,CTR,87.2,93.93778,-0.03465072511900802,0.039940023110790035,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,6,2025-09-22,GPC,2.6,2.7888339,-0.03703703703703709,0.032901428363941276,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,7,2025-09-22,DLG,2.93,3.0928237,-0.023333333333333317,0.030941247940063477,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,8,2025-09-22,PV2,2.9,3.09244,-0.033333333333333326,0.030813296635945564,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,9,2025-09-22,UDC,3.9,4.225112,-0.04878048780487798,0.030515112527987,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-15,10,2025-09-22,HID,3.15,3.1980796,0.012861736334405238,0.02832141029873081,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-16,1,2025-09-23,HHG,1.5,1.6539967,0.0,0.10266447067260742,0,model1,2026-06-15 06:49:36
