symbol,date
HAG,2026-05-06 07:00:00
HAM,2026-05-06 07:00:00
HAP,2026-05-06 07:00:00
HBH,2026-05-06 07:00:00
HC3,2026-05-06 07:00:00
HCD,2026-05-06 07:00:00
HDB,2026-05-06 07:00:00
HDG,2026-05-06 07:00:00
HEJ,2026-05-06 07:00:00
HHG,2026-05-06 07:00:00
HID,2026-05-06 07:00:00
HIO,2026-05-06 07:00:00
HKT,2026-05-06 07:00:00
HMS,2026-05-06 07:00:00
HPD,2026-05-06 07:00:00
HPO,2026-05-06 07:00:00
HPX,2026-05-06 07:00:00
HSP,2026-05-06 07:00:00
HT1,2026-05-06 07:00:00
HU3,2026-05-06 07:00:00
ICG,2026-05-06 07:00:00
IDI,2026-05-06 07:00:00
IDV,2026-05-06 07:00:00
IJC,2026-05-06 07:00:00
ILA,2026-05-06 07:00:00
IMP,2026-05-06 07:00:00
ITD,2026-05-06 07:00:00
JVC,2026-05-06 07:00:00
KDC,2026-05-06 07:00:00
KGM,2026-05-06 07:00:00
KMR,2026-05-06 07:00:00
KST,2026-05-06 07:00:00
L14,2026-05-06 07:00:00
LAI,2026-05-06 07:00:00
LBM,2026-05-06 07:00:00
LDP,2026-05-06 07:00:00
LHC,2026-05-06 07:00:00
LSG,2026-05-06 07:00:00
MA1,2026-05-06 07:00:00
MAC,2026-05-06 07:00:00
MBB,2026-05-06 07:00:00
MCF,2026-05-06 07:00:00
MCG,2026-05-06 07:00:00
MCM,2026-05-06 07:00:00
MCO,2026-05-06 07:00:00
MEL,2026-05-06 07:00:00
MH3,2026-05-06 07:00:00
MIC,2026-05-06 07:00:00
MIG,2026-05-06 07:00:00
MML,2026-05-06 07:00:00
MPC,2026-05-06 07:00:00
MSB,2026-05-06 07:00:00
MSN,2026-05-06 07:00:00
MTP,2026-05-06 07:00:00
NAB,2026-05-06 07:00:00
NAF,2026-05-06 07:00:00
NAG,2026-05-06 07:00:00
ND2,2026-05-06 07:00:00
NDT,2026-05-06 07:00:00
NDX,2026-05-06 07:00:00
NFC,2026-05-06 07:00:00
NHA,2026-05-06 07:00:00
NHH,2026-05-06 07:00:00
NHT,2026-05-06 07:00:00
NJC,2026-05-06 07:00:00
NLG,2026-05-06 07:00:00
NSC,2026-05-06 07:00:00
NTF,2026-05-06 07:00:00
NUE,2026-05-06 07:00:00
NVL,2026-05-06 07:00:00
OIL,2026-05-06 07:00:00
ONE,2026-05-06 07:00:00
PBC,2026-05-06 07:00:00
PC1,2026-05-06 07:00:00
PCH,2026-05-06 07:00:00
PCT,2026-05-06 07:00:00
PEG,2026-05-06 07:00:00
PGB,2026-05-06 07:00:00
PGD,2026-05-06 07:00:00
PGT,2026-05-06 07:00:00
PGV,2026-05-06 07:00:00
PHC,2026-05-06 07:00:00
PIC,2026-05-06 07:00:00
PJC,2026-05-06 07:00:00
PLP,2026-05-06 07:00:00
PND,2026-05-06 07:00:00
PNP,2026-05-06 07:00:00
POS,2026-05-06 07:00:00
POV,2026-05-06 07:00:00
POW,2026-05-06 07:00:00
PPH,2026-05-06 07:00:00
PPP,2026-05-06 07:00:00
PRE,2026-05-06 07:00:00
PSB,2026-05-06 07:00:00
PTI,2026-05-06 07:00:00
PTL,2026-05-06 07:00:00
PTM,2026-05-06 07:00:00
PTS,2026-05-06 07:00:00
PV2,2026-05-06 07:00:00
PVO,2026-05-06 07:00:00
PVT,2026-05-06 07:00:00
QNC,2026-05-06 07:00:00
QNW,2026-05-06 07:00:00
QPH,2026-05-06 07:00:00
RIC,2026-05-06 07:00:00
RYG,2026-05-06 07:00:00
S99,2026-05-06 07:00:00
SAC,2026-05-06 07:00:00
SAM,2026-05-06 07:00:00
SAS,2026-05-06 07:00:00
SAV,2026-05-06 07:00:00
SBA,2026-05-06 07:00:00
SBB,2026-05-06 07:00:00
